plant	s	x	p	male	female
A3310	F	1	1	0	1
A1395	H	1	2	8	2
B138	F	1	3	0	11
A1231	F	1	4	0	25
A2072	F	1	5	0	0
A1342	F	1	6	0	2
A1109	H	1	7	15	15
A2174	F	1	8	2	10
A3514	H	1	9	0	2
A662	F	1	10	0	0
A2134	H	1	11	0	0
A1230	F	1	12	0	14
A3453	F	1	13	0	4
A1239	F	1	14	0	3
B50	F	1	15	0	6
A2161	F	1	16	0	6
A1212	F	1	17	0	5
B26	F	1	18	3	1
A409	F	1	19	3	1
A1418	H	1	20	10	2
A3283	F	1	21	0	2
A1467	H	1	22	7	4
A2109	F	1	23	0	2
A1473	F	1	24	0	0
A170	H	2	1	1	0
D59	H	2	2	0	10
A2187	F	2	3	0	0
A1477	H	2	4	7	2
A524	H	2	5	2	2
D50	H	2	6	1	0
A1515	H	2	7	2	3
A114	H	2	8	1	1
A1488	H	2	9	2	13
A154	H	2	10	15	15
A1491	H	2	11	2	0
A2052	F	2	12	0	3
A1327	H	2	13	10	6
A2240	H	2	14	6	2
A634	F	2	15	2	0
A131	H	2	16	8	22
A659	F	2	17	0	10
A298	H	2	18	0	1
A2162	F	2	19	0	39
A1311	H	2	20	0	12
A1258	H	2	21	3	1
A2089	H	2	22	0	0
A618	F	2	23	0	1
A440	H	2	24	2	0
A1319	H	3	1	6	7
A1257	H	3	2	3	0
A3311	H	3	3	0	0
A39	H	3	4	0	1
A1347	H	3	5	1	1
A142	H	3	6	5	11
A62	H	3	7	0	2
A1393	H	3	8	0	0
A1385	H	3	9	0	5
A2151	H	3	10	1	0
A1425	H	3	11	12	5
A1698	H	3	12	3	10
A2095	F	3	13	0	0
A22	H	3	14	0	0
A140	H	3	15	12	13
A2087	H	3	16	3	1
A1842	H	3	17	3	4
A3469	H	3	18	1	5
A660	F	3	19	0	5
B63	H	3	20	6	8
A1495	H	3	21	7	18
A2262	H	3	22	9	4
A3444	H	3	23	3	2
A12	H	3	24	1	4
