observer	date	time	exclosure	corner	insectType	insectGroup	timeStamp	behavior	plant	position	maleFlowers	femaleFlowers	notes
BJS	20140724	1000	ex2	B	hover fly	1	100.81	scan	A298	18	0	1	
BJS	20140724	1000	ex2	B	hover fly	1	110.274	search	NA	NA	NA	NA	
BJS	20140724	1000	ex2	B	hover fly	1	113.814	scan	A2162	19	0	39	
BJS	20140724	1000	ex2	B	hover fly	1	117.498	search	NA	NA	NA	NA	
BJS	20140724	1000	ex2	B	hover fly	1	122.411	exit	NA	NA	NA	NA	
BJS	20140724	1000	ex2	B	bumble bee	2	169.439	search	NA	NA	NA	NA	
BJS	20140724	1000	ex2	B	bumble bee	2	172.196	exit	NA	NA	NA	NA	
BJS	20140724	1000	ex2	B	bumble bee	3	201.709	search	NA	NA	NA	NA	
BJS	20140724	1000	ex2	B	bumble bee	3	202.76	scan	A154	10	15	15	
BJS	20140724	1000	ex2	B	bumble bee	3	205.172	scan	A1515	7	2	3	
BJS	20140724	1000	ex2	B	bumble bee	3	208.02	land	A1515	7	2	3	
BJS	20140724	1000	ex2	B	bumble bee	3	210.815	scan	A1515	7	2	3	
BJS	20140724	1000	ex2	B	bumble bee	3	213.234	scan	A154	10	15	15	
BJS	20140724	1000	ex2	B	bumble bee	3	215.37	search	NA	NA	NA	NA	
BJS	20140724	1000	ex2	B	bumble bee	3	218.442	scan	A1258	21	3	1	
BJS	20140724	1000	ex2	B	bumble bee	3	227.743	search	NA	NA	NA	NA	
BJS	20140724	1000	ex2	B	bumble bee	3	229.794	scan	A2162	19	0	39	
BJS	20140724	1000	ex2	B	bumble bee	3	231.912	search	NA	NA	NA	NA	
BJS	20140724	1000	ex2	B	bumble bee	3	248.119	exit	NA	NA	NA	NA	
BJS	20140724	1000	ex2	B	bumble bee	4	266.19	search	NA	NA	NA	NA	
BJS	20140724	1000	ex2	B	bumble bee	4	268.097	scan	D59	2	0	10	
BJS	20140724	1000	ex2	B	bumble bee	4	270.454	search	NA	NA	NA	NA	
BJS	20140724	1000	ex2	B	bumble bee	4	273.674	exit	NA	NA	NA	NA	
BJS	20140724	1000	ex2	B	bumble bee	5	298.341	search	NA	NA	NA	NA	
BJS	20140724	1000	ex2	B	bumble bee	5	300.312	land	A1311	20	0	12	
BJS	20140724	1000	ex2	B	bumble bee	5	302.958	scan	A1311	20	0	12	
BJS	20140724	1000	ex2	B	bumble bee	5	303.747	search	NA	NA	NA	NA	
BJS	20140724	1000	ex2	B	bumble bee	5	307.416	exit	NA	NA	NA	NA	
BJS	20140724	1000	ex2	B	bumble bee	6	367.154	exit	NA	NA	NA	NA	
BJS	20140724	1000	ex2	B	bumble bee	7	391.353	search	NA	NA	NA	NA	
BJS	20140724	1000	ex2	B	bumble bee	7	391.7	scan	A1477	4	7	2	
BJS	20140724	1000	ex2	B	bumble bee	7	393.796	search	NA	NA	NA	NA	
BJS	20140724	1000	ex2	B	bumble bee	7	394.157	scan	A1515	7	2	3	
BJS	20140724	1000	ex2	B	bumble bee	7	396.773	search	NA	NA	NA	NA	
BJS	20140724	1000	ex2	B	bumble bee	7	399.369	scan	A154	10	15	15	
BJS	20140724	1000	ex2	B	bumble bee	7	401.749	search	NA	NA	NA	NA	
BJS	20140724	1000	ex2	B	bumble bee	7	404.989	exit	NA	NA	NA	NA	
BJS	20140724	1000	ex2	B	bumble bee	8	458.915	search	NA	NA	NA	NA	
BJS	20140724	1000	ex2	B	bumble bee	8	461.34	exit	NA	NA	NA	NA	
BJS	20140724	1000	ex2	B	bumble bee 	9	509.608	search	NA	NA	NA	NA	
BJS	20140724	1000	ex2	B	bumble bee 	9	511.836	scan	A131	16	8	22	
BJS	20140724	1000	ex2	B	bumble bee 	9	515.979	exit	NA	NA	NA	NA	
BJS	20140724	1000	ex2	B	bumble bee	10	543.029	search	NA	NA	NA	NA	
BJS	20140724	1000	ex2	B	bumble bee	10	546.662	exit	NA	NA	NA	NA	
BJS	20140724	1000	ex2	B	bumble bee	11	554.858	search	NA	NA	NA	NA	
BJS	20140724	1000	ex2	B	bumble bee	11	559.547	exit	NA	NA	NA	NA	
BJS	20140724	1000	ex2	B	bumble bee	12	579.188	exit	NA	NA	NA	NA	
BJS	20140724	1000	ex2	B	bumble bee	13	589.58	search	NA	NA	NA	NA	
BJS	20140724	1000	ex2	B	bumble bee	13	591.682	exit	NA	NA	NA	NA	
